	1-9A-Ant	10-36B-Fluid	11-QC-Post	12-60C-Ant	13-35A-Ant	14-35B-Ant	15-9B-Ant	16-9B-Post	17-35B-Prec	18-35B-Post	19-35A-Prec	2-60C-Prec	20-35C-Post	21-60A-Prec	22-60B-Post	23-9A-Post	24-60B-Ant	25-35C-Ant	26-9C-Ant	27-9C-Fluid	29-4-60B-Water	3-60A-Post	30-1-35A-Water	31-3-9A-Water	32-8-60C-Water	33-2-60A-Water	34-6-9B-Water	4-60B-Prec	40-35C-Fluid	42-35A-Fluid	43-9B-Fluid	46-Blank-Blank	5-36A-Post	6-9A-Fluid	7-60C-Post	8-60B-Fluid	9-60A-Ant	Kingdom	Phylum	Class	Order	Family	Genus	Species
ASV_1	0	17463	1817	100	4	47	11	1570	1080	1221	1379	1522	1085	6400	2907	611	24	2	0	8091	3	137	5	1	9	8	14	2555	16628	5656	11630	0	186	4724	941	550	27	Bacteria	Spirochaetota	Brevinematia	Brevinematales	Brevinemataceae	Brevinema	NA
ASV_2	0	33266	6	5	2	443	0	1	46649	139	2	0	0	186	0	0	0	0	0	2366	360	0	1	6	1	16	35	1346	0	0	1	0	0	0	0	0	0	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Vibrionaceae	Photobacterium	damselae
ASV_3	251	2669	19	8554	301	1273	1809	549	940	186	19674	4840	4	19438	6	129	78	897	610	5665	2	1	1	3	2	39	2	2444	2663	39	1784	119	0	3895	49	0	99	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Vibrionaceae	Thaumasiovibrio	NA
ASV_4	376	550	261	4915	7076	1225	8590	339	193	1423	3663	326	8	2294	14	6	4944	11338	4198	4817	0	3	2	1	0	0	7	5216	177	97	1393	1361	32	638	154	35	1200	Bacteria	Firmicutes	Bacilli	Mycoplasmatales	Mycoplasmataceae	Mycoplasma	NA
ASV_5	0	1197	1	21	1	0	0	0	68	10	69	11013	0	29530	0	0	0	0	0	5776	189	3	13	10	36	154	699	14191	28	0	10	1	0	4	4	71	1	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Vibrionaceae	Vibrio	NA
ASV_6	3	155	440	12	1	0	6	4394	3	2	673	0	357	115	16	3	0	1	0	429	2	4	6	1	2	2	9	113	413	6007	7844	0	2836	0	5	12	94	Bacteria	Firmicutes	Clostridia	Clostridia vadinBB60 group	NA	NA	NA
ASV_7	0	2424	5	2	0	201	0	1	2519	42	33	1365	0	649	0	8	1	0	0	1837	33	0	5	266	18	14	74	808	0	0	1	0	0	11590	0	1	1	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Vibrionaceae	Vibrio	NA
ASV_8	0	0	0	102	1	2	0	0	0	0	6	63	0	141	1	0	0	0	0	2	1773	0	2328	5333	2095	1372	5685	0	0	0	3	3	0	1	0	0	6	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Alteromonadaceae	Alteromonas	NA
ASV_9	1	1	0	3	5	0	1	16	0	1	2905	0	0	0	1	1	0	0	0	0	0	1	1	0	0	0	0	0	2	12002	200	0	1366	2	1	0	57	Bacteria	Spirochaetota	Brevinematia	Brevinematales	Brevinemataceae	Brevinema	NA
ASV_10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	673	0	3296	6215	698	629	17	0	0	0	2	1	0	0	0	0	0	Bacteria	Firmicutes	Bacilli	Paenibacillales	Paenibacillaceae	Paenibacillus	validus
ASV_11	0	8227	0	1	0	3	0	0	1529	93	0	1	0	9	0	0	0	0	0	0	5	0	0	0	0	0	37	12	0	1	0	0	0	0	4	0	0	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	Epulopiscium	NA
ASV_12	0	0	0	18	0	0	0	0	0	0	0	48	0	171	0	0	0	0	0	0	1581	0	3	919	2814	2253	878	45	0	0	2	3	0	0	0	1	0	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Nautella	NA
ASV_13	0	0	0	1	0	0	0	0	0	0	0	3	0	24	0	0	0	0	0	0	2269	0	30	1266	34	318	4587	53	0	0	0	4	0	0	0	0	0	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Ruegeria	NA
ASV_14	0	0	0	5	0	0	0	0	0	0	1	20	0	184	0	0	0	0	0	0	1134	0	299	1483	682	2022	754	47	0	0	0	2	0	0	0	1	1	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Leisingera	NA
ASV_15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	168	0	2218	2265	144	707	156	0	0	0	0	0	0	0	0	0	0	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Fictibacillus	NA
ASV_16	0	7	0	0	0	210	0	0	4375	47	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Morganellaceae	Morganella	morganii
ASV_17	0	1	0	2	45	0	1	0	0	0	3285	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	1	0	0	0	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Vibrionaceae	NA	NA
ASV_18	0	0	0	0	56	0	0	0	0	0	3193	1	0	3	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	6	0	0	0	1	0	0	0	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	NA	NA	NA
ASV_19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	2214	0	0	970	0	0	0	0	0	0	0	0	0	0	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	NA	NA
