"","OTU","Sample","Abundance","Tank","Location","Treatment","Source","Combined","Kingdom","Phylum","Class","Order","Family","Genus","sd","median"
"1","ASV_1","Posterior",49.0145035329119,NA,"Posterior",NA,NA,NA,"Bacteria","Spirochaetota","Brevinematia","Brevinematales","Brevinemataceae","Brevinema",25.0827628765212,24.4629286724434
"2","ASV_1","Fluid",41.285417661482,NA,"Fluid",27.4285714285714,NA,NA,"Bacteria","Spirochaetota","Brevinematia","Brevinematales","Brevinemataceae","Brevinema",24.1386920848421,24.4629286724434
"3","ASV_1","Precipitates",7.6404396834048,NA,"Precipitates",50,NA,NA,"Bacteria","Spirochaetota","Brevinematia","Brevinematales","Brevinemataceae","Brevinema",3.89130268025131,24.4629286724434
"4","ASV_1","Anterior",0.464710050590775,NA,"Anterior",34.6666666666667,NA,NA,"Bacteria","Spirochaetota","Brevinematia","Brevinematales","Brevinemataceae","Brevinema",1.74919726789778,24.4629286724434
"5","ASV_10","Fluid",0.00214611847647049,NA,"Fluid",27.4285714285714,NA,NA,"Bacteria","Other","Bacilli","Paenibacillales","Paenibacillaceae","Below Threshold",0.003819913876561,0
"6","ASV_10","Precipitates",0,NA,"Precipitates",50,NA,NA,"Bacteria","Other","Bacilli","Paenibacillales","Paenibacillaceae","Below Threshold",0,0
"7","ASV_10","Posterior",0,NA,"Posterior",NA,NA,NA,"Bacteria","Other","Bacilli","Paenibacillales","Paenibacillaceae","Below Threshold",0,0
"8","ASV_10","Anterior",0,NA,"Anterior",34.6666666666667,NA,NA,"Bacteria","Other","Bacilli","Paenibacillales","Paenibacillaceae","Below Threshold",0,0
"9","ASV_101","Precipitates",0.0163988983798853,NA,"Precipitates",50,NA,NA,"Bacteria","Other","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Below Threshold",0.0170157771952372,0.00411976995204588
"10","ASV_101","Anterior",0.00823953990409176,NA,"Anterior",34.6666666666667,NA,NA,"Bacteria","Other","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Below Threshold",0.0115861429730043,0.00411976995204588
"11","ASV_101","Posterior",0,NA,"Posterior",NA,NA,NA,"Bacteria","Other","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Below Threshold",0,0.00411976995204588
"12","ASV_101","Fluid",0,NA,"Fluid",27.4285714285714,NA,NA,"Bacteria","Other","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Below Threshold",0,0.00411976995204588
"13","ASV_104","Precipitates",0.000964641081169724,NA,"Precipitates",50,NA,NA,"Bacteria","Other","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Below Threshold",0.00305776619944589,0
"14","ASV_104","Posterior",0,NA,"Posterior",NA,NA,NA,"Bacteria","Other","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Below Threshold",0,0
"15","ASV_104","Fluid",0,NA,"Fluid",27.4285714285714,NA,NA,"Bacteria","Other","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Below Threshold",0,0
"16","ASV_104","Anterior",0,NA,"Anterior",34.6666666666667,NA,NA,"Bacteria","Other","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Below Threshold",0,0
"17","ASV_105","Precipitates",0.000964641081169724,NA,"Precipitates",50,NA,NA,"Bacteria","Other","Alphaproteobacteria","Rhodospirillales","AEGEAN-169 marine group","Below Threshold",0.00252356513556955,0
"18","ASV_105","Fluid",0,NA,"Fluid",27.4285714285714,NA,NA,"Bacteria","Other","Alphaproteobacteria","Rhodospirillales","AEGEAN-169 marine group","Below Threshold",0,0
