"","taxon","lfc_(Intercept)","lfc_LocationFluid","lfc_LocationPosterior","lfc_LocationPrecipitates","lfc_Treatment60","lfc_Treatment9","se_(Intercept)","se_LocationFluid","se_LocationPosterior","se_LocationPrecipitates","se_Treatment60","se_Treatment9","W_(Intercept)","W_LocationFluid","W_LocationPosterior","W_LocationPrecipitates","W_Treatment60","W_Treatment9","p_(Intercept)","p_LocationFluid","p_LocationPosterior","p_LocationPrecipitates","p_Treatment60","p_Treatment9","q_(Intercept)","q_LocationFluid","q_LocationPosterior","q_LocationPrecipitates","q_Treatment60","q_Treatment9","diff_(Intercept)","diff_LocationFluid","diff_LocationPosterior","diff_LocationPrecipitates","diff_Treatment60","diff_Treatment9"
"1","Brevinema_sp.",-3.4704841962845,6.61653300048698,4.4175913188655,5.17117792816844,0.00817517411594311,-0.865635982425703,0.617554202524167,0.749021512503944,0.715491543658471,0.850671708991019,0.655211515025695,0.698859558750131,-5.61972403733855,8.83356871602822,6.17420479392021,6.07893488582331,0.0124771526880484,-1.23864082788514,1.91262713319156e-08,1.01388003266227e-18,6.64973015043205e-10,1.20983471722508e-09,0.990044930807862,0.215478541061011,2.67767798646819e-07,1.41943204572717e-17,9.30962221060486e-09,1.69376860411512e-08,0.990044930807862,0.603339914970831,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
"2","damselae",0.155000240507315,1.4620149410679,-0.365220352033299,3.8087839244544,-1.84526307747878,-1.54670802609086,1.37793146608523,1.67127077849746,1.59645626514638,1.89807717442375,1.46195517705986,1.55934583950719,0.112487626795895,0.874792379474444,-0.228769406345003,2.00665387887124,-1.26218854478821,-0.991895439038509,0.910436779862386,0.381686884369688,0.819048146436766,0.0447865301093087,0.206880949683571,0.321248534247064,0.910436779862386,0.667952047646953,0.975596791979746,0.137151141607654,0.474413956438882,0.749579913243149,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"3","Thaumasiovibrio_sp.",0.413668199484666,-0.450374675814893,-3.22468940634524,3.10392598529361,-1.16038249782941,1.63286607911441,0.925291209126,1.12227074255788,1.07203224883108,1.27457364579188,0.981713754830579,1.04711230768422,0.447068118020275,-0.401306617678012,-3.00801529978354,2.43526609509109,-1.18199678075171,1.55939918491229,0.654825877745909,0.688194391949707,0.00262959899036852,0.0148808420392397,0.237206978219441,0.118901929110568,0.763963524036893,0.764379996316149,0.0122714619550531,0.0694439295164519,0.474413956438882,0.554875669182653,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
"4","Mycoplasma_sp.",1.90077038386846,-2.25173518780935,-4.367092542876,-0.682450225658775,-0.496970755852481,0.497934699623131,0.76035883923413,0.922226942886472,0.880943422139799,1.04738240065603,0.806724114225872,0.860465430737848,2.49983334945249,-2.44162806690689,-4.95729059678815,-0.651576945756697,-0.616035577824981,0.578680655649527,0.0124251740704501,0.0146212013924354,7.14830197226414e-07,0.514674124121188,0.537871038779136,0.562804670946593,0.0579841456621007,0.0511742048735238,5.0038113805849e-06,0.514674124121188,0.684563140264355,0.823808361890103,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
"5","Vibrio_sp.",-2.81369551145471,4.26672905018938,0.0382538698042597,7.3635459054064,0.88522207023736,0.722382334712434,1.07937257143432,1.30915353105118,1.25054921796664,1.48681784561856,1.1451907134888,1.22147956554479,-2.60678804142275,3.25915100787562,0.0305896555326784,4.95255415927764,0.772990961078043,0.591399443010938,0.00913959165863329,0.00111746170991011,0.975596791979746,7.32456611826596e-07,0.439527730056825,0.554252813500169,0.0579841456621007,0.00782223196937077,0.975596791979746,5.12719628278617e-06,0.683709802310617,0.823808361890103,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
"6","Clostridia vadinBB60 group_XX_sp.",-1.70859396903247,4.06146035314993,2.64070693802409,2.47699515879865,-1.00602447139508,-0.28830132120807,1.20586373399613,1.46257261326102,1.39710048573843,1.66105706788644,1.27939507307494,1.36462417972184,-1.41690468073896,2.77692903335194,1.89013386293997,1.49121616992391,-0.786328236341549,-0.211267926724585,0.156510797828112,0.00548751589657748,0.0587400592238502,0.135904749668401,0.431675214272429,0.832678208824501,0.492214051634547,0.0256084075173616,0.164472165826781,0.236847573117405,0.683709802310617,0.912334285438338,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
"7","Alteromonas_sp.",-0.348211534140177,-0.335088350624251,-0.816303306056693,1.15020764000096,1.14651955700227,0.222864875942413,0.587919517486082,0.71307808313228,0.681157124165954,0.809850491592337,0.623769761732221,0.665323258900233,-0.592277554637263,-0.469918173830748,-1.19840676562874,1.42027158338745,1.83804927288934,0.334972320539049,0.553664743525867,0.638413479449057,0.230758699858114,0.155528630698811,0.0660551450517183,0.737645966210822,0.711042656187806,0.764379996316149,0.461517399716227,0.236847573117405,0.308257343574685,0.912334285438338,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"8","Epulopiscium_sp.",0.215160403685538,1.04993161013783,0.539673495123672,2.11101431672145,-1.47574024183478,-1.70990708992699,0.952549572663313,1.15533197014539,1.10361348855199,1.3121215317782,1.01063428293549,1.07795942658662,0.225878431800618,0.908770498236712,0.489005889037982,1.60885578476911,-1.46021193497251,-1.5862443870837,0.821295973259451,0.363471282316453,0.624837527590846,0.107647879557069,0.144231836201844,0.112683882371392,0.884472586587101,0.667952047646953,0.971969487363538,0.215295759114137,0.437964982386113,0.554875669182653,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"9","morganii",1.09798147410984,-0.551374351695684,-0.153266112018737,1.10032600463253,-2.00543640032276,-1.52225075330278,0.811018931573723,0.983671748212955,0.939637646960844,1.11716572543205,0.860473365251116,0.917795280707258,1.3538296473293,-0.560526773994853,-0.163111932045784,0.98492638968761,-2.33061996025584,-1.65859509773217,0.175790732726624,0.575120182601214,0.870430305201609,0.32466022966185,0.0197734080335147,0.0971974102946446,0.492214051634547,0.764379996316149,0.975596791979746,0.349634093481992,0.276827712469206,0.554875669182653,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"10","Desulfovibrio_sp.",0.767350266479544,0.116296118469761,-1.56116947774267,2.43846570343624,-1.83404102545727,-0.550602451647997,0.899168300722604,1.09058669011352,1.04176653492832,1.23858982841067,0.953997919812523,1.01755013457384,0.853400042976242,0.10663628991993,-1.49857902457011,1.96874352388734,-1.92247906139846,-0.541105969072077,0.39343749767944,0.915077527525149,0.133982877612156,0.048982550574162,0.0545455057960251,0.588434544207216,0.693049508202697,0.915077527525149,0.312626714428365,0.137151141607654,0.308257343574685,0.823808361890103,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
