"","Display","Sample","Abundance","Sum",".Group"
"1","Desulfobacterota; Desulfovibrionales; Desulfovibrio; ASV_23","17-35B-Prec",1.35425241350475,1.26675328227571,"35"
"2","Desulfobacterota; Desulfovibrionales; Desulfovibrio; ASV_23","19-35A-Prec",1.35425241350475,1.4417515447338,"35"
"3","Desulfobacterota; Desulfovibrionales; Desulfovibrio; ASV_23","2-60C-Prec",0.451259559039569,1.2837996708206,"60"
"4","Desulfobacterota; Desulfovibrionales; Desulfovibrio; ASV_23","21-60A-Prec",0.451259559039569,0.0699790062981106,"60"
"5","Desulfobacterota; Desulfovibrionales; Desulfovibrio; ASV_23","4-60B-Prec",0.451259559039569,0,"60"
"6","Firmicutes; Clostridia vadinBB60 group; Clostridia vadinBB60 group_XX; ASV_6","17-35B-Prec",0.951976009411913,0.00512855579868709,"35"
"7","Firmicutes; Clostridia vadinBB60 group; Clostridia vadinBB60 group_XX; ASV_6","19-35A-Prec",0.951976009411913,1.89882346302514,"35"
"8","Firmicutes; Clostridia vadinBB60 group; Clostridia vadinBB60 group_XX; ASV_6","2-60C-Prec",0.189737084881064,0,"60"
"9","Firmicutes; Clostridia vadinBB60 group; Clostridia vadinBB60 group_XX; ASV_6","21-60A-Prec",0.189737084881064,0.18289967555188,"60"
"10","Firmicutes; Clostridia vadinBB60 group; Clostridia vadinBB60 group_XX; ASV_6","4-60B-Prec",0.189737084881064,0.386311579091313,"60"
"11","Firmicutes; Lachnospirales; Epulopiscium; ASV_11","17-35B-Prec",1.30692696936543,2.61385393873085,"35"
"12","Firmicutes; Lachnospirales; Epulopiscium; ASV_11","19-35A-Prec",1.30692696936543,0,"35"
"13","Firmicutes; Lachnospirales; Epulopiscium; ASV_11","2-60C-Prec",0.0200135630120794,0.00470256289677874,"60"
"14","Firmicutes; Lachnospirales; Epulopiscium; ASV_11","21-60A-Prec",0.0200135630120794,0.0143138876518863,"60"
"15","Firmicutes; Lachnospirales; Epulopiscium; ASV_11","4-60B-Prec",0.0200135630120794,0.0410242384875731,"60"
"16","Firmicutes; Mycoplasmatales; Mycoplasma; ASV_4","17-35B-Prec",5.33242050998487,0.329937089715536,"35"
"17","Firmicutes; Mycoplasmatales; Mycoplasma; ASV_4","19-35A-Prec",5.33242050998487,10.3349039302542,"35"
"18","Firmicutes; Mycoplasmatales; Mycoplasma; ASV_4","2-60C-Prec",7.67111847318377,1.53303550434987,"60"
"19","Firmicutes; Mycoplasmatales; Mycoplasma; ASV_4","21-60A-Prec",7.67111847318377,3.64845091926967,"60"
"20","Firmicutes; Mycoplasmatales; Mycoplasma; ASV_4","4-60B-Prec",7.67111847318377,17.8318689959318,"60"
"21","Proteobacteria; Enterobacterales; Alteromonas; ASV_8","17-35B-Prec",0.00846429478317298,0,"35"
"22","Proteobacteria; Enterobacterales; Alteromonas; ASV_8","19-35A-Prec",0.00846429478317298,0.016928589566346,"35"
"23","Proteobacteria; Enterobacterales; Alteromonas; ASV_8","2-60C-Prec",0.173504123014426,0.296261462497061,"60"
"24","Proteobacteria; Enterobacterales; Alteromonas; ASV_8","21-60A-Prec",0.173504123014426,0.224250906546218,"60"
