function	description	1-9A-Ant	10-36B-Fluid	11-QC-Post	12-60C-Ant	13-35A-Ant	14-35B-Ant	15-9B-Ant	16-9B-Post	17-35B-Prec	18-35B-Post	19-35A-Prec	2-60C-Prec	20-35C-Post	21-60A-Prec	22-60B-Post	23-9A-Post	24-60B-Ant	25-35C-Ant	26-9C-Ant	27-9C-Fluid	29-4-60B-Water	3-60A-Post	30-1-35A-Water	31-3-9A-Water	32-8-60C-Water	33-2-60A-Water	34-6-9B-Water	4-60B-Prec	40-35C-Fluid	42-35A-Fluid	43-9B-Fluid	46-Blank-Blank	5-36A-Post	6-9A-Fluid	7-60C-Post	8-60B-Fluid	9-60A-Ant
K01428	ureC; urease subunit alpha [EC:3.5.1.5]	6.42	33326	19.25	167.63	6	660.42	0	2.25	51163	187.9	19	1205.34	0	1805.78	14	20	4.15	14.35	1.25	2370.1	9131.63	4.95	10736.48	11971.49	9386.88	8516.77	13212.45	2901.47	1.75	2	9.83	22.75	5.82	1	4.25	4893.48	7.4
K01429	ureB; urease subunit beta [EC:3.5.1.5]	1.42	33463	18.25	174.38	11	662.42	0	2.25	51199	191.9	28	1354.09	0	1778.53	19	16	13.15	10.75	8.25	2369.7	9059.13	6.95	10152.23	11951.49	9288.13	8434.77	13224.45	3016.47	12.75	5	9.83	24.75	29.82	1	5.25	4236.11	10.6
K01430	ureA; urease subunit gamma [EC:3.5.1.5]	1.42	33463	18.25	174.38	11	662.42	0	2.25	51199	191.9	30	1356.09	0	1783.53	19	20	13.15	10.75	8.25	2371.7	9806.13	6.95	14124.23	18203.49	10085.13	9145.77	13246.45	3016.47	12.75	5	11.83	25.75	29.82	1	5.25	4623.11	10.6
K03187	ureE; urease accessory protein	7.42	33463	18.75	185.13	8	662.42	0	2.25	51199	190.9	30	1356.84	0	1808.78	15	16	13.15	18.35	8.25	2370.1	9084.63	6.2	9101.98	11894.49	9248.88	8414.77	13107.95	3016.47	12.75	5	9.83	22.25	29.82	1	5.25	4778.48	11.4
K03188	ureF; urease accessory protein	6.42	33463	19.25	186.13	11	662.42	0	2.25	51199	191.9	30	1357.84	0	1806.78	19	20	13.15	18.35	8.25	2372.1	9814.63	6.95	14127.98	18202.49	10127.88	9160.77	13247.95	3016.47	12.75	5	11.83	25.75	29.82	1	5.25	4858.48	11.4
K03189	ureG; urease accessory protein	6.42	33463	19.25	174.63	11	662.42	0	2.25	51199	193.9	30	1356.34	0	1806.78	19	20	13.15	18.35	8.25	2372.1	9819.63	6.95	14124.48	18201.49	10110.88	9171.77	13246.45	3016.47	12.75	5	11.83	25.75	29.82	1	5.25	4845.48	11.4
K03190	"ureD, ureH; urease accessory protein"	6.42	33463	21.25	186.13	11	662.42	0	2.25	51199	191.9	30	1357.84	0	1806.78	19	20	13.15	18.35	8.25	2372.1	9815.63	6.95	14135.98	18202.49	10128.88	9161.77	13247.95	3016.47	12.75	5	11.83	25.75	29.82	1	5.25	4882.48	11.4
K03191	ureI; acid-activated urea channel	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	371	0
K03192	ureJ; urease accessory protein	2.29	33465.5	13.5	46.59	3	449.67	0	1	46824.25	141	13	1207.84	0	1278.28	4.25	1	2.5	1	1	2366	1590.31	1	882	542.18	1289.83	1254.4	563.02	2822.6	4.5	1	1	8	0.17	1	0	2542	4
K14048	ureAB; urease subunit gamma/beta [EC:3.5.1.5]	5	0	0	10.25	0	0	0	0	0	0	0	982.25	0	992.25	0	4	0	7.6	1	0.4	57.5	0	77.25	9	32.75	31	6	1338	0	0	0	8	0	1	0	516.37	0.8
