"","PC1","PC2","Tank","Location","Treatment","Source","Combined"
"1-9A-Ant",-0.847547119910839,0.267310052660939,"9A","Anterior","9","Toadfish","Anterior_9"
"10-36B-Fluid",-1.35551758139358,-0.375893809514114,"35B","Fluid","35","Toadfish","Fluid_35"
"11-QC-Post",-1.83508014463481,0.219235767659678,"QC","Posterior","QC","Toadfish","Posterior_QC"
"12-60C-Ant",0.408021952303413,-1.76956898272958,"60C","Anterior","60","Toadfish","Anterior_60"
"13-35A-Ant",-0.74502934878548,0.081574107460927,"35A","Anterior","35","Toadfish","Anterior_35"
"14-35B-Ant",-1.23485167731892,0.000146506992937089,"35B","Anterior","35","Toadfish","Anterior_35"
"15-9B-Ant",-0.805000202732487,0.0125458307067678,"9B","Anterior","9","Toadfish","Anterior_9"
"16-9B-Post",-1.1611673412852,-0.0183960945560353,"9B","Posterior","9","Toadfish","Posterior_9"
"17-35B-Prec",-1.03697226937249,-0.317051695805169,"35B","Precipitates","35","Toadfish","Precipitates_35"
"18-35B-Post",-2.11654506754622,-0.129021655848275,"35B","Posterior","35","Toadfish","Posterior_35"
"19-35A-Prec",-0.933547359008614,0.131546371000179,"35A","Precipitates","35","Toadfish","Precipitates_35"
"2-60C-Prec",1.11178869147243,-2.11210181693754,"60C","Precipitates","60","Toadfish","Precipitates_60"
"20-35C-Post",-0.751053277032498,0.215234400951149,"35C","Posterior","35","Toadfish","Posterior_35"
"21-60A-Prec",0.619474118322851,-2.31346938072407,"60A","Precipitates","60","Toadfish","Precipitates_60"
"22-60B-Post",-0.906682766834417,0.196257665630558,"60B","Posterior","60","Toadfish","Posterior_60"
"23-9A-Post",-1.20735737458657,0.1087646724646,"9A","Posterior","9","Toadfish","Posterior_9"
"24-60B-Ant",-0.950913843069122,0.301146801905258,"60B","Anterior","60","Toadfish","Anterior_60"
"25-35C-Ant",-0.803835536334977,0.0596339958523851,"35C","Anterior","35","Toadfish","Anterior_35"
"26-9C-Ant",-0.716769451102755,0.128386036344871,"9C","Anterior","9","Toadfish","Anterior_9"
"27-9C-Fluid",-0.941159033546203,-0.265612258342856,"9C","Fluid","9","Toadfish","Fluid_9"
"29-4-60B-Water",5.22198487293061,-3.36012163192357,"4-60B","Water","60","Water","Water_60"
"3-60A-Post",-1.56573210185621,0.159300313479374,"60A","Posterior","60","Toadfish","Posterior_60"
"30-1-35A-Water",3.73974235191987,5.88174633776457,"1-35A","Water","35","Water","Water_35"
"31-3-9A-Water",4.10566346400149,6.37088728979872,"3-9A","Water","9","Water","Water_9"
"32-8-60C-Water",5.3160297046825,-4.20670075238886,"8-60C","Water","60","Water","Water_60"
"33-2-60A-Water",5.04602655623113,-3.6669389333996,"2-60A","Water","60","Water","Water_60"
"34-6-9B-Water",3.32004362302263,5.11082393389132,"6-9B","Water","9","Water","Water_9"
"4-60B-Prec",0.0584884377297413,-1.4574960413778,"60B","Precipitates","60","Toadfish","Precipitates_60"
"40-35C-Fluid",-0.938232601401368,-0.116914941298308,"35C","Fluid","35","Toadfish","Fluid_35"
"42-35A-Fluid",-0.842966606990016,0.307818869686026,"35A","Fluid","35","Toadfish","Fluid_35"
"43-9B-Fluid",-0.712084328352982,-0.316378242952445,"9B","Fluid","9","Toadfish","Fluid_9"
"5-36A-Post",-1.3698415997414,0.540294459587551,"35A","Posterior","35","Toadfish","Posterior_35"
"6-9A-Fluid",-0.673757786585864,-0.179551803113407,"9A","Fluid","9","Toadfish","Fluid_9"
"7-60C-Post",-1.40555904255633,0.0986704010832166,"60C","Posterior","60","Toadfish","Posterior_60"
"8-60B-Fluid",-1.76644139150696,0.683626025533481,"60B","Fluid","60","Toadfish","Fluid_60"
"9-60A-Ant",-1.32361891913035,-0.269731799542882,"60A","Anterior","60","Toadfish","Anterior_60"
