"","OTU","Sample","Abundance","Tank","Location","Treatment","Source","Combined","Kingdom","Phylum","Class","Order","Family","Genus","sd","SD","median"
"1","ASV_1","Posterior_60",91.237703042782,NA,NA,60,NA,"Posterior_60","Bacteria","Spirochaetota","Brevinematia","Brevinematales","Brevinemataceae","Brevinema",15.4245412710855,0.652319682926907,9.23962889798222
"2","ASV_1","Posterior_QC",69.7504798464491,NA,NA,NA,NA,"Posterior_QC","Bacteria","Spirochaetota","Brevinematia","Brevinematales","Brevinemataceae","Brevinema",NA,2.812865033244,9.23962889798222
"3","ASV_1","Fluid_60",48.758865248227,NA,NA,60,NA,"Fluid_60","Bacteria","Spirochaetota","Brevinematia","Brevinematales","Brevinemataceae","Brevinema",NA,0.0813626853557715,9.23962889798222
"4","ASV_1","Fluid_35",46.2691104157354,NA,NA,35,NA,"Fluid_35","Bacteria","Spirochaetota","Brevinematia","Brevinematales","Brevinemataceae","Brevinema",30.8887095335335,30.8887095335335,9.23962889798222
"5","ASV_1","Posterior_35",40.5698065601346,NA,NA,35,NA,"Posterior_35","Bacteria","Spirochaetota","Brevinematia","Brevinematales","Brevinemataceae","Brevinema",23.0554791600249,NA,9.23962889798222
"6","ASV_1","Fluid_9",33.5767318302568,NA,NA,9,NA,"Fluid_9","Bacteria","Spirochaetota","Brevinematia","Brevinematales","Brevinemataceae","Brevinema",15.5624976644138,15.5624976644138,9.23962889798222
"7","ASV_1","Posterior_9",28.4973421496175,NA,NA,9,NA,"Posterior_9","Bacteria","Spirochaetota","Brevinematia","Brevinematales","Brevinemataceae","Brevinema",37.1114708512205,23.0554791600249,9.23962889798222
"8","ASV_1","Precipitates_60",9.23962889798222,NA,NA,60,NA,"Precipitates_60","Bacteria","Spirochaetota","Brevinematia","Brevinematales","Brevinemataceae","Brevinema",1.51122281040931,15.4245412710855,9.23962889798222
"9","ASV_1","Precipitates_35",5.71008846166129,NA,NA,35,NA,"Precipitates_35","Bacteria","Spirochaetota","Brevinematia","Brevinematales","Brevinemataceae","Brevinema",7.24129165163668,37.1114708512205,9.23962889798222
"10","ASV_1","Anterior_60",1.00457055798895,NA,NA,60,NA,"Anterior_60","Bacteria","Spirochaetota","Brevinematia","Brevinematales","Brevinemataceae","Brevinema",2.812865033244,NA,9.23962889798222
"11","ASV_1","Anterior_35",0.244612205305554,NA,NA,35,NA,"Anterior_35","Bacteria","Spirochaetota","Brevinematia","Brevinematales","Brevinemataceae","Brevinema",0.652319682926907,7.24129165163668,9.23962889798222
"12","ASV_1","Anterior_9",0.0814128256513026,NA,NA,9,NA,"Anterior_9","Bacteria","Spirochaetota","Brevinematia","Brevinematales","Brevinemataceae","Brevinema",0.0813626853557715,1.51122281040931,9.23962889798222
"13","ASV_1","Water_60",0.03170526783025,NA,NA,60,NA,"Water_60","Bacteria","Spirochaetota","Brevinematia","Brevinematales","Brevinemataceae","Brevinema",0.0155862947344266,NA,9.23962889798222
"14","ASV_1","Water_9",0.0223857208948319,NA,NA,9,NA,"Water_9","Bacteria","Spirochaetota","Brevinematia","Brevinematales","Brevinemataceae","Brevinema",0.0334954970519953,0.0155862947344266,9.23962889798222
"15","ASV_1","Water_35",0.0160638269390378,NA,NA,35,NA,"Water_35","Bacteria","Spirochaetota","Brevinematia","Brevinematales","Brevinemataceae","Brevinema",NA,0.0334954970519953,9.23962889798222
"16","ASV_10","Water_9",9.53780948259137,NA,NA,9,NA,"Water_9","Bacteria","Other","Bacilli","Paenibacillales","Paenibacillaceae","Below Threshold",11.5223865911334,0,0
"17","ASV_10","Water_35",9.02787073973923,NA,NA,35,NA,"Water_35","Bacteria","Other","Bacilli","Paenibacillales","Paenibacillaceae","Below Threshold",NA,0,0
"18","ASV_10","Water_60",3.29259206417146,NA,NA,60,NA,"Water_60","Bacteria","Other","Bacilli","Paenibacillales","Paenibacillaceae","Below Threshold",0.165864523318018,0,0
"19","ASV_10","Fluid_9",0.005449220080376,NA,NA,9,NA,"Fluid_9","Bacteria","Other","Bacilli","Paenibacillales","Paenibacillaceae","Below Threshold",0.00457695290568702,0,0
"20","ASV_101","Water_60",0.927379084034812,NA,NA,60,NA,"Water_60","Bacteria","Other","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Below Threshold",0.582090932072546,0,0
"21","ASV_101","Water_9",0.0477562045756414,NA,NA,9,NA,"Water_9","Bacteria","Other","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Below Threshold",0.0590255249552913,0.0200677882930005,0
"22","ASV_101","Precipitates_60",0.0299844786228305,NA,NA,60,NA,"Precipitates_60","Bacteria","Other","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Below Threshold",0.0123191397135816,0,0
"23","ASV_101","Anterior_60",0.0238049895258046,NA,NA,60,NA,"Anterior_60","Bacteria","Other","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Below Threshold",0.0200677882930005,0,0
"24","ASV_104","Water_9",0.646201143164147,NA,NA,9,NA,"Water_9","Bacteria","Other","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Below Threshold",0.499439620647109,0,0
"25","ASV_104","Water_60",0.125235807929487,NA,NA,60,NA,"Water_60","Bacteria","Other","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Below Threshold",0.0940106968981328,0,0
"26","ASV_104","Water_35",0.00803191346951889,NA,NA,35,NA,"Water_35","Bacteria","Other","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Below Threshold",NA,0,0
"27","ASV_104","Precipitates_60",0.0017637928601665,NA,NA,60,NA,"Precipitates_60","Bacteria","Other","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Below Threshold",0.00394755918901662,0,0
"28","ASV_105","Water_35",1.83127627105031,NA,NA,35,NA,"Water_35","Bacteria","Other","Alphaproteobacteria","Rhodospirillales","AEGEAN-169 marine group","Below Threshold",NA,0,0
"29","ASV_105","Water_60",0.2409600355099,NA,NA,60,NA,"Water_60","Bacteria","Other","Alphaproteobacteria","Rhodospirillales","AEGEAN-169 marine group","Below Threshold",0.039786805265461,0,0
"30","ASV_105","Water_9",0.152222902084857,NA,NA,9,NA,"Water_9","Bacteria","Other","Alphaproteobacteria","Rhodospirillales","AEGEAN-169 marine group","Below Threshold",0.102678177899628,0,0
"31","ASV_105","Precipitates_35",0.00212904118630175,NA,NA,35,NA,"Precipitates_35","Bacteria","Other","Alphaproteobacteria","Rhodospirillales","AEGEAN-169 marine group","Below Threshold",0.00399010682609569,0,0
"32","ASV_1068","Water_60",0.01902316069815,NA,NA,60,NA,"Water_60","Bacteria","Other","Desulfovibrionia","Desulfovibrionales","Desulfovibrionaceae","Below Threshold",0.00942435536394652,0,0
"33","ASV_109","Water_35",0.829964391850285,NA,NA,35,NA,"Water_35","Bacteria","Other","Cyanobacteriia","Synechococcales","Cyanobiaceae","Below Threshold",NA,0,0
"34","ASV_109","Water_60",0.515210602241562,NA,NA,60,NA,"Water_60","Bacteria","Other","Cyanobacteriia","Synechococcales","Cyanobiaceae","Below Threshold",0.11969757266424,0,0
"35","ASV_109","Water_9",0.0611876371125405,NA,NA,9,NA,"Water_9","Bacteria","Other","Cyanobacteriia","Synechococcales","Cyanobiaceae","Below Threshold",0.0557052797165769,0,0
"36","ASV_109","Precipitates_60",0.00264568929024975,NA,NA,60,NA,"Precipitates_60","Bacteria","Other","Cyanobacteriia","Synechococcales","Cyanobiaceae","Below Threshold",0.00239956804655936,0.00288487617643345,0
"37","ASV_109","Fluid_35",0.000894054537326777,NA,NA,35,NA,"Fluid_35","Bacteria","Other","Cyanobacteriia","Synechococcales","Cyanobiaceae","Below Threshold",0.00288487617643345,NA,0
"38","ASV_11","Fluid_35",7.38667858739383,NA,NA,35,NA,"Fluid_35","Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Epulopiscium",7.01119838460759,0.0440165389471125,0.012652355446839
"39","ASV_11","Precipitates_35",1.62978102811399,NA,NA,35,NA,"Precipitates_35","Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Epulopiscium",1.85069146949638,0.00401355765860011,0.012652355446839
"40","ASV_11","Posterior_35",0.97771236333053,NA,NA,35,NA,"Posterior_35","Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Epulopiscium",1.50782294396617,0,0.012652355446839
